CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.29487179487179493,0.47163947163947173,0.1209813874788494,0.2945736434108527,0.45788667687595713,0.3304721030042918,0.40366350067842605,0.5310734463276836,0.4274941995359629,0.4794847328244275,0.3080168776371308,0.4978038067349927,0.32828516021793336
0.21794871794871798,0.41880341880341876,0.08883248730964467,0.22997416020671835,0.38820826952526805,0.19527896995708155,0.48371777476255085,0.4124293785310734,0.3503480278422274,0.3382633587786259,0.2953586497890296,0.4802342606149341,0.29845784467633213
0.24358974358974364,0.5042735042735044,0.06852791878172589,0.21963824289405684,0.3759571209800919,0.2553648068669528,0.4606512890094979,0.5367231638418078,0.34802784222737815,0.3869274809160306,0.23628691983122363,0.5724743777452416,0.3212669683257919
0.24358974358974364,0.48407148407148404,0.06175972927241963,0.22480620155038755,0.3828483920367535,0.34334763948497854,0.4280868385345997,0.5819209039548022,0.36484918793503474,0.4484732824427481,0.19831223628691985,0.6603221083455344,0.35497275833410286
0.1666666666666667,0.40326340326340326,0.03722504230118443,0.15503875968992248,0.29709035222052066,0.2553648068669528,0.5047489823609226,0.5480225988700564,0.3103248259860789,0.40410305343511455,0.20675105485232065,0.6544655929721815,0.35691199556745773
0.11538461538461539,0.3449883449883451,0.026226734348561757,0.10852713178294573,0.23124042879019907,0.16523605150214593,0.5943012211668928,0.4350282485875706,0.25406032482598606,0.3272900763358778,0.20675105485232065,0.6486090775988287,0.35321821036106754
0.11538461538461539,0.33566433566433573,0.02030456852791878,0.08010335917312661,0.18529862174578865,0.1072961373390558,0.6791044776119403,0.327683615819209,0.2192575406032482,0.22423664122137402,0.21097046413502113,0.6134699853587116,0.33059377597192724
0.08974358974358976,0.29759129759129765,0.02030456852791878,0.07235142118863047,0.17151607963246557,0.1072961373390558,0.6729986431478968,0.3220338983050847,0.2192575406032482,0.2228053435114504,0.18565400843881852,0.6603221083455344,0.33973589435774315
0.07692307692307694,0.264957264957265,0.014382402707275803,0.04651162790697674,0.12327718223583461,0.07081545064377681,0.7584803256445047,0.23163841807909602,0.18619489559164737,0.170324427480916,0.18565400843881852,0.6559297218155198,0.33474928432911627
0.05128205128205128,0.24320124320124326,0.0008460236886632822,0.01550387596899225,0.049004594180704464,0.008583690987124463,0.9884667571234735,0.050847457627118633,0.13167053364269143,0.07585877862595419,0.19831223628691985,0.6046852122986823,0.30870809862406506
0.05128205128205128,0.23232323232323238,0.0076142131979695426,0.028423772609819126,0.08039816232771824,0.04721030042918455,0.866350067842605,0.1638418079096045,0.154292343387471,0.09971374045801526,0.17721518987341772,0.6325036603221084,0.3075076184319881
0.10256410256410259,0.3038073038073038,0.018612521150592216,0.06976744186046512,0.16768759571209807,0.18454935622317598,0.6981004070556309,0.3559322033898305,0.22273781902552203,0.2228053435114504,0.16455696202531644,0.6544655929721815,0.31341767476221266
0.21794871794871798,0.4506604506604507,0.048223350253807105,0.19379844961240308,0.3460949464012251,0.34763948497854075,0.4579375848032564,0.5254237288135593,0.3259860788863109,0.4002862595419847,0.189873417721519,0.6222547584187408,0.3125865730907748
0.24358974358974364,0.46464646464646464,0.0676818950930626,0.2325581395348837,0.39203675344563554,0.2510729613733905,0.41926729986431477,0.46327683615819204,0.3642691415313225,0.3649809160305343,0.17721518987341772,0.6691068814055637,0.33872010342598574
0.17948717948717952,0.372960372960373,0.05922165820642977,0.1498708010335917,0.2901990811638591,0.2145922746781116,0.5135685210312075,0.4463276836158192,0.28480278422273786,0.28482824427480913,0.189873417721519,0.636896046852123,0.32588419983377964
0.15384615384615388,0.331002331002331,0.030456852791878174,0.11627906976744184,0.2404287901990812,0.17811158798283264,0.5881953867028493,0.4124293785310734,0.2360788863109049,0.19465648854961834,0.17721518987341772,0.6295754026354319,0.30741527380182837
0.1666666666666667,0.37529137529137535,0.04568527918781726,0.12144702842377261,0.24961715160796333,0.19742489270386268,0.5698778833107191,0.42937853107344637,0.25870069605568446,0.19131679389312975,0.13502109704641352,0.7598828696925329,0.36272970726752246
0.20512820512820515,0.41414141414141414,0.047377326565143825,0.17571059431524547,0.32235834609494646,0.2875536480686695,0.4755766621438263,0.5254237288135593,0.3375870069605569,0.2557251908396947,0.08438818565400846,0.9004392386530016,0.40354603379813464
0.33333333333333337,0.48018648018648025,0.13282571912013535,0.2842377260981912,0.4486983154670751,0.41845493562231756,0.35413839891451826,0.615819209039548,0.44953596287703024,0.3692748091603053,0.07172995780590719,0.9692532942898975,0.435220241942931
0.24358974358974364,0.43278943278943294,0.06091370558375635,0.2144702842377261,0.3713629402756509,0.3690987124463519,0.42130257801899595,0.6045197740112994,0.4013921113689095,0.32585877862595414,0.08438818565400846,0.9502196193265007,0.43909871640964077
0.24358974358974364,0.41880341880341876,0.07445008460236886,0.20155038759689922,0.35528330781010725,0.38841201716738194,0.4355495251017639,0.6327683615819208,0.3689095127610209,0.33110687022900764,0.14345991561181431,0.8243045387994143,0.41979868870625175
0.33333333333333337,0.4895104895104895,0.1209813874788494,0.27648578811369506,0.43797856049004597,0.49570815450643774,0.37109905020352785,0.655367231638418,0.4431554524361949,0.4012404580152672,0.1476793248945148,0.7715959004392385,0.38433835072490535
0.576923076923077,0.6433566433566434,0.25380710659898476,0.5245478036175711,0.6669218989280246,0.5772532188841202,0.22930800542740837,0.7457627118644068,0.6542923433874709,0.5467557251908397,0.16877637130801693,0.7218155197657394,0.37325699510573457
0.8461538461538464,0.7948717948717948,0.38409475465313025,0.6950904392764857,0.7963246554364474,0.796137339055794,0.16350067842605154,0.864406779661017,0.7993039443155453,0.6875,0.14345991561181431,0.7964860907759883,0.3967125311663126
0.7435897435897437,0.6891996891996893,0.3333333333333333,0.6072351421188631,0.7320061255742727,0.7274678111587983,0.19131614654002715,0.8248587570621468,0.716937354988399,0.663645038167939,0.13924050632911394,0.774524158125915,0.37953642995659803
0.46153846153846156,0.4351204351204351,0.16074450084602368,0.3178294573643411,0.48085758039816234,0.48927038626609437,0.33649932157394846,0.6610169491525424,0.43619489559164737,0.48759541984732824,0.11814345991561181,0.718887262079063,0.3136023640225321
0.15384615384615388,0.16472416472416473,0.04568527918781726,0.10852713178294573,0.23047473200612562,0.1759656652360515,0.5861601085481682,0.3728813559322034,0.2192575406032482,0.2662213740458015,0.08016877637130798,0.7101024890190336,0.26613722412041735
0.08974358974358976,0.1243201243201244,0.016074450084602367,0.054263565891472874,0.13859111791730477,0.07510729613733905,0.7489823609226594,0.192090395480226,0.17227378190255216,0.13788167938931298,0.08016877637130798,0.6720351390922401,0.24323575584079787
0.17948717948717952,0.25407925407925414,0.04060913705583756,0.13953488372093023,0.273353751914242,0.23605150214592277,0.5379918588873812,0.44067796610169485,0.24361948955916468,0.26383587786259544,0.08438818565400846,0.6383601756954612,0.2230122818358113
0.20512820512820515,0.2261072261072261,0.038917089678511,0.1524547803617571,0.29173047473200614,0.259656652360515,0.5332428765264586,0.5141242937853108,0.2453596287703016,0.271469465648855,0.05907172995780591,0.6559297218155198,0.21100747991504293
0.14102564102564102,0.1825951825951826,0.027918781725888325,0.09302325581395347,0.20673813169984684,0.15021459227467812,0.6343283582089552,0.4067796610169492,0.20243619489559161,0.20467557251908394,0.03375527426160335,0.6866764275256222,0.20805245174993076
0.038461538461538464,0.07303807303807308,0.0,0.012919896640826873,0.0405819295558959,0.03862660944206008,0.9728629579375847,0.14124293785310732,0.11600928074245942,0.0625,0.0,0.7335285505124451,0.20408163265306117
0.06410256410256412,0.13519813519813528,0.008460236886632826,0.03359173126614987,0.09418070444104137,0.09442060085836909,0.830393487109905,0.2937853107344633,0.15545243619489557,0.10687022900763357,0.02109704641350213,0.7027818448023426,0.2041739772832209
0.14102564102564102,0.26262626262626265,0.021996615905245348,0.10077519379844961,0.21592649310872897,0.20815450643776826,0.6282225237449117,0.480225988700565,0.23549883990719256,0.23139312977099238,0.004219409282700426,0.7349926793557833,0.21174623695632105
0.5256410256410258,0.6480186480186482,0.1649746192893401,0.4496124031007751,0.6033690658499236,0.6330472103004292,0.29579375848032563,0.6892655367231638,0.5481438515081206,0.5424618320610687,0.042194092827004204,0.705710102489019,0.22864530427555646
0.35897435897435903,0.4638694638694639,0.17005076142131978,0.34883720930232553,0.5130168453292496,0.37553648068669526,0.30597014925373134,0.5819209039548022,0.43909512761020875,0.4646946564885497,0.2911392405063291,0.3923865300146413,0.21211561547696006
0.3076923076923077,0.3962703962703963,0.13451776649746192,0.28682170542635654,0.4509954058192956,0.4377682403433476,0.344640434192673,0.7005649717514124,0.37296983758700697,0.4312977099236641,0.33755274261603374,0.3440702781844802,0.20500507895465875
0.2307692307692308,0.35198135198135205,0.09052453468697123,0.2506459948320413,0.4119448698315467,0.28111587982832614,0.3894165535956581,0.5310734463276836,0.3375870069605569,0.33206106870229,0.36708860759493667,0.3162518301610542,0.20057253670699055
0.28205128205128205,0.38772338772338777,0.11252115059221658,0.2713178294573643,0.4349157733537519,0.31759656652360513,0.37109905020352785,0.5480225988700564,0.3700696055684455,0.3435114503816794,0.4135021097046414,0.2869692532942899,0.20675962692769417
0.3076923076923077,0.41491841491841497,0.13705583756345177,0.3178294573643411,0.48238897396630936,0.3240343347639485,0.33107191316146534,0.5875706214689266,0.4089327146171694,0.3807251908396947,0.42194092827004226,0.30453879941434847,0.23427832671530152
0.33333333333333337,0.4662004662004663,0.1505922165820643,0.3540051679586563,0.5160796324655437,0.38197424892703863,0.3127544097693351,0.6045197740112994,0.4553364269141532,0.41793893129771,0.4008438818565401,0.3235724743777453,0.2388955582232894
0.3205128205128205,0.432012432012432,0.13367174280879865,0.31524547803617564,0.47856049004594187,0.3562231759656652,0.3344640434192673,0.5706214689265536,0.4071925754060325,0.4050572519083969,0.40506329113924056,0.32650073206442165,0.24323575584079787
0.2692307692307693,0.4048174048174049,0.1065989847715736,0.28940568475452194,0.45405819295558963,0.296137339055794,0.3697421981004071,0.5649717514124294,0.3799303944315545,0.3487595419847328,0.4472573839662447,0.2840409956076134,0.23326253578354422
0.46153846153846156,0.5881895881895883,0.19120135363790186,0.48578811369509045,0.6347626339969372,0.41630901287553645,0.23812754409769332,0.7344632768361582,0.5539443155452436,0.5472328244274809,0.37130801687763715,0.3616398243045388,0.25330132052821125
0.435897435897436,0.5998445998445999,0.1988155668358714,0.45736434108527124,0.6110260336906586,0.407725321888412,0.24423337856173677,0.711864406779661,0.5174013921113688,0.5653625954198473,0.3417721518987342,0.41727672035139085,0.28266691291901375
